idMiejscowosci;nazwa;idPowiatu_FK
1;Wroc³aw;1
2;K³odzki;2
3;Œwidnica;3
4;Bydgoszcz;4
5;Toruñ;5
6;Inowroc³aw;6
7;Lublin;7
8;Pu³awy;8
9;Bia³a Podlaska;9
10;Zielona Góra;10
11;Gorzów Wielkopolski;11
12;¯ary;12
13;£ódŸ;13
14;Zgierz;14
15;Sieradz;15
16;Kraków;16
17;Nowy S¹cz;17
18;Tarnów;18
19;Warszawa;19
20;Wo³omin;20
21;Piaseczno;21
22;Opole;22
23;Nysa;23
24;Kêdzie¿yn-KoŸle;24
25;Rzeszów;25
26;Mielec;26
27;Dêbica;27
28;Bia³ystok;28
29;Suwa³ki;29
30;Sokó³ka;30
31;Gdañsk;31
32;Gdynia;32
33;Wejherowo;33
34;Katowice;34
35;Czêstochowa;35
36;Gliwice;36
37;Kielce;37
38;Mas³ów;38
39;Suchedniów;39
40;Olsztyn;40
41;Elbl¹g;41
42;E³k;42
43;Poznañ;43
44;Ostrów Wielkopolski;44
45;Gniezno;45
46;Szczecin;46
47;Stargard;47
48;Koszalin;48
